Day,Date,Name,Time,Meet,GMap,Price,PageType,Page,Tickets,Org1,OrgSite1,Org2,OrgSite2,Org3,OrgSite3,Partner,Detail1,Detail2,Detail3
THR,4,"Run, Walk, Dance with the Jaycees at the Rose Bowl",5:30 PM - 6:30 PM,"Rose Bowl Loop, Lot K",https://goo.gl/maps/Ah46mgtCcNn,FREE,Event Page,http://pasadenajaycees.org/calendar/,,the Pasadena Jaycees,http://pasadenajaycees.org/,,,,,Y,"Run, walk or dance around the Rose Bowl with the Pasadena Jaycees! Runners and walkers of all experiences and levels are welcome to work out and have fun at one of Pasadena’s most popular walking paths.","Recurring on Thursdays in October (4, 11, 18, and 25), 2018.",
SAT,6,Old Pasadena Historic District Walking Tour,9:00 AM - 11:00 AM,See confirmation email,,15 members/$18 public,Event Page,https://pasadenaheritage.org/events-calendar/,https://www.eventbrite.com/e/old-pasadena-historic-district-walking-tour-tickets-41388453980,Pasadena Heritage,https://pasadenaheritage.org/,,,,,Y,"Old Pasadena has gone from drab and dingy to a shopping and dining destination. This National Register Historic District would have been destroyed if not for the vision and leadership of Pasadena Heritage! Now it is one of the finest examples of downtown revitalizations in the country. Let one of Pasadena Heritage's trained docents lead you through this historic neighborhood and reveal its many hidden and unusual architectural details, old alleyways, and historic signs.",,
SUN,7,District 7 Walk with Councilmember Andy Wilson,3:00 PM - 4:30 PM,Sidney F. Tyler Park,https://goo.gl/maps/oczHeYxaf9M2,FREE,Facebook Event Page,https://www.facebook.com/events/294807808000658/,,Pasadena Complete Streets Coalition,https://www.pasadenacsc.org/,Pasadena City Councilmember Andy Wilson,https://ww5.cityofpasadena.net/district7/,,,N,"Here at PasadenaCSC, we're big on getting to know your city councilmember and what makes them tick, and so we asked each of Pasadena's councilmembers if they'd bring their constituents along for their favorite walk in their district. Andy Wilson (District 7) comes in strong with the fastest response and the first event in the series!","This leisurely stroll will take us down Arden Road and then to Caltech, where we'll visit some of Caltech's newest destinations: the Hameetman Student Center, Bechtel Residence, and the location for the upcoming Chen Neuroscience Building.","The walk will then continue past the historic bungalows on San Pasqual, concluding with a no-host social hour at <a href=""http://www.themaghouse.com/"" target=""_blank"" rel=""noopener noreferrer"">Magnolia House</a> (492 S. Lake Ave.)"
TUE,9,Altadena Walk To School Day with Day One,6:55 AM - 8:30 AM,TBA,,FREE,,,,Jackson Elementary (PUSD),https://www.pusd.us/jackson,Day One,https://www.godayone.org/,,,Y,"Pasadena Unified School District's Jackson STEM Dual Language Magnet Academy joins thousands of schools around the country in <a href=""http://www.walkbiketoschool.org/"" target=""_blank"" rel=""noopener noreferrer"">Walk To School Day</a>, an annual event to celebrate the joy, independence, and health benefits of walking to school.","This event is being co-organized by Jackson Elementary and the lovely folks at Day One for Jackson's students and their families. For more information and to volunteer for setup/cleanup or to be a walking bus ""driver"", please contact Day One through the below link.",
WED,10,PUSD Walk To School Day with Day One and District 1 Councilmember Tyron Hampton,6:30 AM,TBA,,FREE,,,,Madison Elementary (PUSD),https://www.pusd.us/Domain/17,Day One,https://www.godayone.org/,Pasadena City Councilmember Tyron Hampton,https://ww5.cityofpasadena.net/district1/,Y,"Pasadena Unified School District's Madison Elementary joins thousands of schools around the country in <a href=""http://www.walkbiketoschool.org/"" target=""_blank"" rel=""noopener noreferrer"">Walk To School Day</a>, an annual event to celebrate the joy, independence, and health benefits of walking to school.","This event is being organized by PUSD for Madison students and their families. We're excited to announce that Pasadena District 1 Councilmember Tyron Hampton, who is known for his frequent constituent walks, will be joining! Also keep an eye out Pasadena's Day One and ask them about their resources for safe walking —  we heard there might be coloring books! ",
THR,11,"Run, Walk, Dance with the Jaycees at the Rose Bowl",5:30 PM - 6:30 PM,"Rose Bowl Loop, Lot K",https://goo.gl/maps/Ah46mgtCcNn,FREE,Event Page,http://pasadenajaycees.org/calendar/,,the Pasadena Jaycees,http://pasadenajaycees.org/,,,,,Y,"Run, walk or dance around the Rose Bowl with the Pasadena Jaycees! Runners and walkers of all experiences and levels are welcome to work out and have fun at one of Pasadena’s most popular walking paths.","Recurring on Thursdays in October (4, 11, 18, and 25), 2018.",
SAT,13,Civic Center Art Walk with Meriel Stern,9:30 AM - 11:30 AM,Pasadena City Hall Courtyard,https://goo.gl/maps/Ymjz2JM8iWk,FREE,Facebook Event Page,https://www.facebook.com/events/338296490249182/,,Pasadena Complete Streets Coalition,https://www.pasadenacsc.org/,"Meriel Stern, Teaching Artist, Sculptor, and former Arts & Culture Commission Chair",http://www.merielstern.com/,,,N,"Ever wonder about the sculptures we see around the city — where they came from, why they're there, and what they mean? Join us for a walking tour as local artist and former Arts & Culture Commission Chair Meriel Stern discusses the history, artistry, and meaning behind various public art installations, including some hidden gems you may not have noticed before! ",This walk will cover approximately 2.5 miles and more than 15 artists in Pasadena’s city center.,
SAT,13,13th Annual Pasadena ARTWalk,11:00 AM - 6:00 PM,Green St. at Madison Ave.,https://goo.gl/maps/uP3cFTm5oy42,FREE,Event Page,https://www.playhousedistrict.org/calendar-of-events/artwalk,,the Playhouse District Association,https://www.playhousedistrict.org/,,,,,Y,"The 13th Annual Pasadena ArtWalk celebrates the Playhouse District with a FREE juried art show and sale from a wide variety of local artists while also offering patrons the opportunity to experience all of the amazing art the District has to offer. Set in the cultural heart of Pasadena with art, music, and activities, Green Street will provide the perfect shaded canopy for this unique, all-ages art event.",,
SAT,13,Old Pasadena Historic Pubs & Trivia Walking Tour,2:00 PM - 5:00 PM,See confirmation email,,35 members/$45 non-members,Event Page,https://pasadenaheritage.org/events-calendar/,https://www.eventbrite.com/e/old-pasadena-historic-pubs-trivia-walking-tour-tickets-49304955449,Pasadena Heritage,https://pasadenaheritage.org/,,,,,Y,"Experience the history of some famous and infamous Pasadena watering holes and haunts. This guided walking tour of Pasadena’s original downtown includes stops at pubs distinctive for their history, architecture, and beer. Tour-goers can delight in beer tastings plus little-known facts and forgotten lore–a great way to get to know historic Old Pasadena!",,
SUN,14,Power Walking 101: A Glenarm Power Plant Tour (First session),9:00 AM - 11:00 AM,Glenarm Power Plant Fountain,https://goo.gl/maps/3Qctb19fn5o,FREE,Facebook Event Page,https://www.facebook.com/events/2151418508510353/,https://www.eventbrite.com/e/power-walking-101-a-glenarm-power-plant-tour-tickets-50768205068,Pasadena Complete Streets Coalition,https://www.pasadenacsc.org/,Pasadena Water and Power,https://ww5.cityofpasadena.net/water-and-power/,,,N,"The Glenarm Power Plant has been keeping the lights on in Pasadena since 1907, starting with the streetlights lining Glenarm and expanding to meet the City’s growing needs. A major repowering in 2016 is helping reduce the city’s fuel consumption and emissions, lower its carbon footprint, increase efficiency, and better integrate renewable energy into its grid by backstopping it with a reliable alternative when needed. The facility is an essential component of the City’s reliable supply of electricity while serving as a step toward meeting its sustainability goals. ","This tour is a rare opportunity to explore the new state-of-the-art power plant and get a glimpse into the history of the City’s power generation. 
<strong>NOTE: This is an exclusive event, limited to 15 participants. Eventbrite tickets are FREE but required for attendance!</strong>
","Participants should observe the following:
<ul><li>The plant is an industrial facility and industrial hazards do exist at the plant</li>
<li>No open-toed or high-heeled shoes</li>
<li>Long pants are recommended; skirts are not (for the sake of modesty)</li></ul>
"
THR,18,"Run, Walk, Dance with the Jaycees at the Rose Bowl",5:30 PM - 6:30 PM,"Rose Bowl Loop, Lot K",https://goo.gl/maps/Ah46mgtCcNn,FREE,Event Page,http://pasadenajaycees.org/calendar/,,the Pasadena Jaycees,http://pasadenajaycees.org/,,,,,Y,"Run, walk or dance around the Rose Bowl with the Pasadena Jaycees! Runners and walkers of all experiences and levels are welcome to work out and have fun at one of Pasadena’s most popular walking paths.","Recurring on Thursdays in October (4, 11, 18, and 25), 2018.",
SAT,20,"Walk It, See It, Fix It: A Citizens Service Center Walk",10:00 AM - 12:00 PM,Villa Parke in front of the Community Center,https://goo.gl/maps/gbufeJSCCYR2,FREE,Facebook Event Page,https://www.facebook.com/events/1915047835469077/,,Pasadena Complete Streets Coalition,https://www.pasadenacsc.org/,Pasadena Citizen's Service Center,https://ww5.cityofpasadena.net/citizen-service-center/,,,N,"<em>""What is happiness? The feeling that power increases, that resistance is overcome."" — Friedrich Nietzsche</em>.  Well, Nietzche never had a smartphone, but we think that if he did, and lived in Pasadena, he'd have been talking about the Citizen's Service Center App. That's the <a href=""https://ww5.cityofpasadena.net/citizen-service-center/"" target=""_blank"" rel=""noopener noreferrer"">app</a> that the City of Pasadena has developed to empower citizens to quickly submit city service requests, and we love it! We find it extremely useful for reporting problems that make walking and biking more dangerous and less fun - such as potholes, sidewalk cracks,  burnt out lampposts, broken pedestrian buttons, and lights that don't trigger - and we love that the City often responds very promptly.","Come out and learn how to use this app, which we'll immediately test out on a walk with a representative from the Pasadena Citizen's Service Center. It'll increase your happiness. Seriously.",
SAT,20,District 6 Walk: From Angels To the Arroyo,4:30 PM - 6:00 PM,"Church of the Angels (1100 Avenue 64), in front of the bell",https://goo.gl/maps/ZpWvv6vCUpJ2,FREE,Facebook Event Page,,,Pasadena Complete Streets Coalition,https://www.pasadenacsc.org/,,,,,N,"Searching for a bit of serenity on your Saturday afternoon? Join us for ""From Angels to the Arroyo"", a walking exploration of some of the natural and architectural beauty in District 6's Garvanza neighborhood. We'll begin at the historic <a href=""https://www.coa-pasadena.org/"" target=""_blank"" rel=""noopener noreferrer"">Church of the Angels</a>, where we'll be greeted by Rector Fr. Robert J. Gaestel. ""Father Bob,"" as he is known, has been with the church since 1983; he will share with us the church's history and give us a tour of the interior grounds. We'll then walk to Johnson Lake, Pasadena's ""secret"" lake that was home to the San Raphael Winery at the turn of the century. We'll finish at the newly renovated La Loma Bridge, which offers beautiful views into the lower Arroyo and the San Gabriel Mountains.","Our walk leader is Pilar Reynaldo, a neighbor of the Church of the Angels who loves to walk all over the area and share her appreciation of its history and beauty with friends old and new. Pilar is an experienced walk leader and a member of the Pasadena Complete Streets Coalition.",
SAT,20,Rose Villa Neighborhood Walking Tour,9:00 AM - 11:15 AM,See confirmation email,,15 members/$18 public,Event Page,https://pasadenaheritage.org/events-calendar/,https://www.eventbrite.com/e/rose-villa-neighborhood-walking-tour-tickets-49701153488,Pasadena Heritage,https://pasadenaheritage.org/,,,,,Y,"Just east of the Caltech area, these few blocks represent Pasadena’s growing “middle class” and were developed between 1913 and 1921, the tail end of the Craftsman-style era in residential architecture in Pasadena. This was a popular neighborhood for professors and others associated with the newly relocated Throop University (later to by known as Caltech), and Pasadena City College. Group size is very limited - register early!",Please make sure you bring your confirmation with you to the meeting location especially if you purchase your ticket after 4pm on Friday the 19th.,
SAT,20,Together Is Better: A Walk to Support Individuals with Down Syndrome,9:00 AM - 1:00 PM,Central Park (275 S. Raymond Avenue),https://goo.gl/maps/aAY8bAXd2Cm,FREE; $15 for optional activity wristband,Registration,https://www.ds-stride.org/club21walkathon,,Club 21,http://clubtwentyone.org/,,,,,Y,"Club 21 Learning and Resource Center provides the educational tools and resources that enable individuals with Down Syndrome to be fully included. Please support Club 21 at their largest fundraising event, the annual Together Is Better Walk-athon!","Invite your friends, family, and coworkers to join Club 21 in Old Pasadena's Central Park and celebrate the lives of individuals with Down syndrome.","The walk is free!  Participants have the option to purchase t-shirts ($15 for ages 13 and up, and $10 for under 13), but are not obligated to purchase a shirt. T-shirts must be ordered in advance by registering online before October 10 at noon."
SUN,21,"Power Walking 101: A Glenarm Power Plant Tour (Second session, NEW)",9:00 AM - 11:00 AM,Glenarm Power Plant Fountain,https://goo.gl/maps/3Qctb19fn5o,FREE,Facebook Event Page (TBA),,,Pasadena Complete Streets Coalition,https://www.pasadenacsc.org/,Pasadena Water and Power,https://ww5.cityofpasadena.net/water-and-power/,,,N,"The Glenarm Power Plant has been keeping the lights on in Pasadena since 1907, starting with the streetlights lining Glenarm and expanding to meet the City’s growing needs. A major repowering in 2016 is helping reduce the city’s fuel consumption and emissions, lower its carbon footprint, increase efficiency, and better integrate renewable energy into its grid by backstopping it with a reliable alternative when needed. The facility is an essential component of the City’s reliable supply of electricity while serving as a step toward meeting its sustainability goals. ","This tour is a rare opportunity to explore the new state-of-the-art power plant and get a glimpse into the history of the City’s power generation. 
<strong>NOTE: This is an exclusive event, limited to 15 participants. Eventbrite tickets are FREE but required for attendance!</strong>
","Participants should observe the following:
<ul><li>The plant is an industrial facility and industrial hazards do exist at the plant</li>
<li>No open-toed or high-heeled shoes</li>
<li>Long pants are recommended; skirts are not (for the sake of modesty)</li></ul>
"
SUN,21,Public Art in Old Pasadena,3:00 PM - 5:00 PM,See confirmation email,,15,Event Page,https://www.facebook.com/events/434838870373937/,https://www.eventbrite.com/e/public-art-in-old-pasadena-tickets-51107931198,Pasadena Walking Tours,https://www.pasadenawalkingtours.com/,,,,,Y,"Old Pasadena is FULL of incredible murals, sculptures, statues, and architecture! On this tour, we'll look at examples of all of them, and talk about how each reflects the city's evolution over time. From the earliest days of the settlement, Pasadena's people have always prioritized culture and the arts. We'll talk about theatres, art schools, the Arts & Crafts movement, architects, and even wall dogs! Don't know what a wall dog is? Come join us and you'll find out!","This 2-hour tour will take place on Sunday, October 21, from 3-5pm.",
THR,25,"Run, Walk, Dance with the Jaycees at the Rose Bowl",5:30 PM - 6:30 PM,"Rose Bowl Loop, Lot K",https://goo.gl/maps/Ah46mgtCcNn,FREE,Event Page,http://pasadenajaycees.org/calendar/,,the Pasadena Jaycees,http://pasadenajaycees.org/,,,,,Y,"Run, walk or dance around the Rose Bowl with the Pasadena Jaycees! Runners and walkers of all experiences and levels are welcome to work out and have fun at one of Pasadena’s most popular walking paths.","Recurring on Thursdays in October (4, 11, 18, and 25), 2018.",
SAT,27,Saloons & Speakeasies! The History of Alcohol in Pasadena,4:00 PM - 6:00 PM,See confirmation email,,15,Facebook Event Page,https://www.facebook.com/events/1887649454688562/,https://www.eventbrite.com/e/saloons-speakeasies-the-history-of-alcohol-in-pasadena-tickets-50784291182?aff=efbeventtix,Pasadena Walking Tours,https://www.pasadenawalkingtours.com/,,,,,Y,"Pasadena has had a long and complicated relationship with alcoholic beverages. Long before Prohibition, Pasadena prided itself on being a ""Dry"" community... Which obviously meant that there was rampant rule-breaking everywhere you turned!","On this tour, we'll explore the up and the downs, the ""drys"" and the ""wets"", that have characterized this colorful slice of the Crown City's history.","Our walk will meander through Old Pasadena, including the alleyways that once hosted illegal drinking establishments, as well as stories about the upstanding pillars of society that either shunned or embraced this particular vice (one of whom acually wrote a poem about it - ""No Saloon in the Valley""). We'll end at one of Old Pasadena's many fantastic places to grab a drink, where tour guests will enjoy special perks and prices!"
SUN,28,A Passage Through the Playhouse District,4:00 PM - 6:00 PM,Pasadena City Hall at Garfield Steps,https://goo.gl/maps/Ymjz2JM8iWk,FREE,Facebook Event Page,https://www.facebook.com/events/566710013746718/,,Pasadena Complete Streets Coalition,https://www.pasadenacsc.org/,Downtown Pasadena Neighborhood Association,https://downtownpasadena.wordpress.com/,,,N,"Pasadena takes a certain pride in being (some say) a small town with a storied excellence in art and architecture. But not everyone knows that Pasadena was also once the home of an extremely progressive planning movement, and that this movement was responsible for much of the beauty we treasure in our downtown core today.","On this tour, led by DPNA President, Pasadena Transportation Commissioner, and avid walker Jonathan Edewards, we'll delve into Pasadena's history of planning, urbanism, and placemaking as we pass from the Civic Center eastward through the Playhouse District, and discover how those ideas remain relevant today. We'll traverse some of the historic alleyways, streets, and courtyards of the <a href=""http://www.pasadenapassages.com"" target=""_blank"" rel=""noopener noreferrer"">""Pasadena Passages""</a> project and explore what it means for a city to be truly ""walkable"".","We'll end the walk with beers and sliders at <a href=""http://www.tboylestavern.com/"">T. Boyle's Tavern </a>(37 N. Catalina Ave.) All are welcome!"